127.0.0.1 - - [30/Jan/2024:08:39:38 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:39:39 +0700] "GET /hoangkimmobile/ HTTP/1.1" 200 24324
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:39:39 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:39:39 +0700] "GET /hoangkimmobile/image/iphone4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:39:39 +0700] "GET /hoangkimmobile/image/iphone1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:39:39 +0700] "GET /hoangkimmobile/image/iphone3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:39:39 +0700] "GET /hoangkimmobile/image/iphone2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:39:39 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:06 +0700] "GET /hoangkimmobile/LoginServlet HTTP/1.1" 200 14234
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:06 +0700] "GET /hoangkimmobile/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:06 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:06 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:08 +0700] "POST /hoangkimmobile/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:08 +0700] "GET /hoangkimmobile/ListServlet HTTP/1.1" 200 23983
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:08 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:08 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:10 +0700] "GET /hoangkimmobile/SaveProfileServlet HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:10 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:41:10 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:59:01 +0700] "GET /hoangkimmobile/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:59:01 +0700] "GET /hoangkimmobile/ListServlet HTTP/1.1" 200 23840
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:59:01 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [30/Jan/2024:08:59:01 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
