127.0.0.1 - - [21/Apr/2024:14:34:33 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:34:34 +0700] "GET /hoangkimmobile/ HTTP/1.1" 200 24324
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:34:34 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:34:34 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:34:58 +0700] "GET /hoangkimmobile/LoginServlet HTTP/1.1" 200 14223
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:34:58 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:34:58 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:00 +0700] "POST /hoangkimmobile/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:00 +0700] "GET /hoangkimmobile/ListServlet HTTP/1.1" 200 23986
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:00 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:00 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:01 +0700] "GET /hoangkimmobile/ProductDetailServlet?productID=3 HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:01 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:01 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:02 +0700] "POST /hoangkimmobile/AddToCartServlet?action=add&id=3 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:02 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:02 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:04 +0700] "GET /hoangkimmobile/ListServlet HTTP/1.1" 200 23986
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:04 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:04 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:05 +0700] "GET /hoangkimmobile/ProductDetailServlet?productID=4 HTTP/1.1" 200 14993
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:05 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:05 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:06 +0700] "POST /hoangkimmobile/AddToCartServlet?action=add&id=4 HTTP/1.1" 200 15908
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:06 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:06 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:07 +0700] "GET /hoangkimmobile/ListServlet HTTP/1.1" 200 23986
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:07 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:07 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:10 +0700] "GET /hoangkimmobile/ProductDetailServlet?productID=5 HTTP/1.1" 200 14989
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:10 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:35:10 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:15 +0700] "POST /hoangkimmobile/AddToCartServlet?action=add&id=5 HTTP/1.1" 200 17340
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:15 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:15 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:26 +0700] "GET /hoangkimmobile/PayServlet?action=checkout HTTP/1.1" 200 16606
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:26 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:26 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:30 +0700] "POST /hoangkimmobile/AddToCartServlet?action=updateQuantity&id=3 HTTP/1.1" 200 17341
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:30 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:30 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:31 +0700] "POST /hoangkimmobile/AddToCartServlet?action=updateQuantity&id=4 HTTP/1.1" 200 17341
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:31 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:31 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:33 +0700] "POST /hoangkimmobile/AddToCartServlet?action=updateQuantity&id=4 HTTP/1.1" 200 17342
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:33 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:33 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:35 +0700] "POST /hoangkimmobile/AddToCartServlet?action=updateQuantity&id=5 HTTP/1.1" 200 17342
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:35 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:35 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:36 +0700] "GET /hoangkimmobile/PayServlet?action=checkout HTTP/1.1" 200 16609
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:36 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:14:37:36 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:11:57 +0700] "GET /hoangkimmobile/ HTTP/1.1" 200 23986
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:11:57 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:11:58 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:12:00 +0700] "GET /hoangkimmobile/ProductDetailServlet?productID=3 HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:12:00 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:12:00 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:12:01 +0700] "POST /hoangkimmobile/AddToCartServlet?action=add&id=3 HTTP/1.1" 200 17342
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:12:01 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/Apr/2024:15:12:01 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
