127.0.0.1 - - [22/May/2024:20:15:07 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:08 +0700] "GET /hoangkimmobile/ HTTP/1.1" 200 23840
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:09 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:09 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:11 +0700] "GET /hoangkimmobile/?lang=vi_VN HTTP/1.1" 200 23857
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:11 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:11 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:13 +0700] "GET /hoangkimmobile/?lang=en_US HTTP/1.1" 200 23840
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:13 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:13 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:14 +0700] "GET /hoangkimmobile/LoginServlet HTTP/1.1" 200 14229
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:14 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:14 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:16 +0700] "POST /hoangkimmobile/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2024:20:15:16 +0700] "GET /hoangkimmobile/AdminHomePage HTTP/1.1" 200 14389
